Filename,Execution Time (seconds)
uf100-058.cnf,0.458607
uf100-0497.cnf,0.031229
uf100-0469.cnf,1.859181
uf100-0941.cnf,0.210879
uf100-0487.cnf,0.523722
uf100-0656.cnf,0.436995
uf100-0854.cnf,0.080641
uf100-0214.cnf,0.338055
uf100-0770.cnf,1.342026
uf100-0351.cnf,0.029397
uf100-0934.cnf,0.021767
uf100-033.cnf,0.043006
uf100-0447.cnf,1.044578
uf100-0211.cnf,2.628556
uf100-0534.cnf,0.256749
uf100-0327.cnf,0.044320
uf100-0906.cnf,11.639160
uf100-0417.cnf,3.500356
uf100-0230.cnf,0.670351
uf100-0558.cnf,8.753334
uf100-0661.cnf,0.007741
uf100-0162.cnf,0.434017
uf100-0353.cnf,6.376467
uf100-0911.cnf,0.085381
uf100-0225.cnf,0.008511
uf100-0532.cnf,0.327225
uf100-039.cnf,0.388452
uf100-0792.cnf,1.720079
uf100-0123.cnf,0.885449
uf100-0342.cnf,0.092255
uf100-0256.cnf,0.137821
uf100-0726.cnf,0.742812
uf100-030.cnf,1.384501
uf100-0121.cnf,5.896456
uf100-0568.cnf,0.239566
uf100-0104.cnf,1.004473
uf100-0837.cnf,0.154646
uf100-0392.cnf,0.146187
uf100-0548.cnf,0.489598
uf100-0513.cnf,0.799106
uf100-0296.cnf,0.025715
uf100-0186.cnf,1.204309
uf100-0407.cnf,2.222893
uf100-0611.cnf,0.209010
uf100-0326.cnf,0.819119
uf100-081.cnf,0.281224
uf100-0125.cnf,1.794427
uf100-0443.cnf,1.005945
uf100-0687.cnf,0.151841
uf100-0292.cnf,0.524536
uf100-0605.cnf,0.705439
uf100-0278.cnf,0.095698
uf100-0173.cnf,2.088068
uf100-0805.cnf,0.030151
uf100-0742.cnf,1.339073
uf100-0203.cnf,0.137449
uf100-0183.cnf,1.304175
uf100-0218.cnf,0.040813
uf100-0890.cnf,0.064117
uf100-0975.cnf,14.255766
uf100-0573.cnf,0.044871
uf100-0721.cnf,0.169499
uf100-0564.cnf,3.695610
uf100-0401.cnf,0.099666
uf100-015.cnf,2.024127
uf100-0621.cnf,0.509466
uf100-052.cnf,7.166876
uf100-0437.cnf,0.678577
uf100-0293.cnf,0.150687
uf100-0455.cnf,1.416147
uf100-0574.cnf,0.094049
uf100-0918.cnf,0.012639
uf100-0502.cnf,0.711534
uf100-0829.cnf,0.109589
uf100-055.cnf,1.313033
uf100-0281.cnf,0.122161
uf100-0190.cnf,0.306901
uf100-0822.cnf,0.934917
uf100-0295.cnf,0.078222
uf100-0933.cnf,2.738976
uf100-0629.cnf,3.754604
uf100-0253.cnf,2.129415
uf100-0316.cnf,0.607992
uf100-0242.cnf,1.007676
uf100-025.cnf,0.227483
uf100-0475.cnf,0.018849
uf100-0718.cnf,0.369381
uf100-0226.cnf,1.356568
uf100-0318.cnf,0.158299
uf100-0217.cnf,1.412842
uf100-0719.cnf,0.952891
uf100-0387.cnf,0.032966
uf100-0529.cnf,0.018596
uf100-0831.cnf,0.366760
uf100-0709.cnf,1.943939
uf100-0887.cnf,0.191880
uf100-0554.cnf,0.085480
uf100-0134.cnf,0.614404
uf100-076.cnf,0.233453
uf100-0650.cnf,2.161819
uf100-0243.cnf,0.024804
uf100-0260.cnf,1.888987
uf100-0846.cnf,0.187702
uf100-0853.cnf,1.000755
uf100-0807.cnf,2.585677
uf100-0315.cnf,0.590068
uf100-0575.cnf,3.690772
uf100-0835.cnf,0.136940
uf100-0991.cnf,2.227184
uf100-0357.cnf,0.768482
uf100-0799.cnf,0.317824
uf100-0422.cnf,1.053884
uf100-0223.cnf,0.340028
