Filename,Execution Time (seconds)
CBS_k3_n100_m423_b50_942.cnf,0.159932
CBS_k3_n100_m423_b50_945.cnf,3.840950
CBS_k3_n100_m423_b50_21.cnf,0.053325
CBS_k3_n100_m423_b50_770.cnf,0.500612
CBS_k3_n100_m423_b50_147.cnf,9.389095
CBS_k3_n100_m423_b50_408.cnf,0.008760
CBS_k3_n100_m423_b50_883.cnf,0.293160
CBS_k3_n100_m423_b50_903.cnf,0.711487
CBS_k3_n100_m423_b50_6.cnf,1.415386
CBS_k3_n100_m423_b50_352.cnf,0.432961
CBS_k3_n100_m423_b50_745.cnf,1.232289
CBS_k3_n100_m423_b50_803.cnf,0.908896
CBS_k3_n100_m423_b50_249.cnf,0.350992
CBS_k3_n100_m423_b50_787.cnf,1.298836
CBS_k3_n100_m423_b50_979.cnf,1.416748
CBS_k3_n100_m423_b50_738.cnf,1.922517
CBS_k3_n100_m423_b50_153.cnf,2.843805
CBS_k3_n100_m423_b50_25.cnf,0.585147
CBS_k3_n100_m423_b50_283.cnf,1.689517
CBS_k3_n100_m423_b50_217.cnf,0.140473
CBS_k3_n100_m423_b50_99.cnf,0.440265
CBS_k3_n100_m423_b50_833.cnf,0.666023
CBS_k3_n100_m423_b50_783.cnf,0.567793
CBS_k3_n100_m423_b50_24.cnf,1.648570
CBS_k3_n100_m423_b50_296.cnf,0.210493
CBS_k3_n100_m423_b50_723.cnf,2.162059
CBS_k3_n100_m423_b50_985.cnf,1.144966
CBS_k3_n100_m423_b50_28.cnf,0.862038
CBS_k3_n100_m423_b50_115.cnf,0.537639
CBS_k3_n100_m423_b50_473.cnf,0.413462
CBS_k3_n100_m423_b50_433.cnf,0.129660
CBS_k3_n100_m423_b50_124.cnf,0.353325
CBS_k3_n100_m423_b50_144.cnf,0.072420
CBS_k3_n100_m423_b50_328.cnf,1.155755
CBS_k3_n100_m423_b50_896.cnf,0.758031
CBS_k3_n100_m423_b50_940.cnf,0.087321
CBS_k3_n100_m423_b50_253.cnf,0.068299
CBS_k3_n100_m423_b50_60.cnf,0.323035
CBS_k3_n100_m423_b50_561.cnf,0.208907
CBS_k3_n100_m423_b50_887.cnf,0.368250
CBS_k3_n100_m423_b50_443.cnf,0.497476
CBS_k3_n100_m423_b50_541.cnf,0.816334
CBS_k3_n100_m423_b50_396.cnf,0.038460
CBS_k3_n100_m423_b50_505.cnf,0.181389
CBS_k3_n100_m423_b50_335.cnf,0.029835
CBS_k3_n100_m423_b50_83.cnf,0.501327
CBS_k3_n100_m423_b50_660.cnf,0.355395
CBS_k3_n100_m423_b50_376.cnf,0.009379
CBS_k3_n100_m423_b50_57.cnf,1.820513
CBS_k3_n100_m423_b50_407.cnf,1.708326
CBS_k3_n100_m423_b50_811.cnf,0.068142
CBS_k3_n100_m423_b50_703.cnf,0.054146
CBS_k3_n100_m423_b50_867.cnf,0.027352
CBS_k3_n100_m423_b50_343.cnf,0.572004
CBS_k3_n100_m423_b50_542.cnf,0.410412
CBS_k3_n100_m423_b50_82.cnf,0.065149
CBS_k3_n100_m423_b50_920.cnf,0.019587
CBS_k3_n100_m423_b50_539.cnf,0.017095
CBS_k3_n100_m423_b50_3.cnf,1.545451
CBS_k3_n100_m423_b50_277.cnf,0.311102
CBS_k3_n100_m423_b50_657.cnf,0.108241
CBS_k3_n100_m423_b50_136.cnf,0.097084
CBS_k3_n100_m423_b50_92.cnf,0.061209
CBS_k3_n100_m423_b50_941.cnf,0.105606
CBS_k3_n100_m423_b50_788.cnf,0.055547
CBS_k3_n100_m423_b50_87.cnf,1.604726
CBS_k3_n100_m423_b50_447.cnf,0.598719
CBS_k3_n100_m423_b50_110.cnf,0.034995
CBS_k3_n100_m423_b50_805.cnf,0.121017
CBS_k3_n100_m423_b50_623.cnf,0.178351
CBS_k3_n100_m423_b50_300.cnf,1.136038
CBS_k3_n100_m423_b50_398.cnf,0.114208
CBS_k3_n100_m423_b50_445.cnf,0.016499
CBS_k3_n100_m423_b50_554.cnf,0.354470
CBS_k3_n100_m423_b50_974.cnf,0.408927
CBS_k3_n100_m423_b50_302.cnf,1.770130
CBS_k3_n100_m423_b50_188.cnf,0.752700
CBS_k3_n100_m423_b50_65.cnf,0.591669
CBS_k3_n100_m423_b50_17.cnf,1.998369
CBS_k3_n100_m423_b50_964.cnf,0.252562
CBS_k3_n100_m423_b50_866.cnf,0.075935
CBS_k3_n100_m423_b50_187.cnf,0.066285
CBS_k3_n100_m423_b50_234.cnf,0.116241
CBS_k3_n100_m423_b50_726.cnf,0.302289
CBS_k3_n100_m423_b50_348.cnf,0.030144
CBS_k3_n100_m423_b50_513.cnf,0.610638
CBS_k3_n100_m423_b50_223.cnf,1.519813
CBS_k3_n100_m423_b50_753.cnf,0.420143
CBS_k3_n100_m423_b50_393.cnf,0.006946
CBS_k3_n100_m423_b50_80.cnf,1.235335
CBS_k3_n100_m423_b50_35.cnf,0.544101
CBS_k3_n100_m423_b50_922.cnf,0.084474
CBS_k3_n100_m423_b50_316.cnf,1.936891
CBS_k3_n100_m423_b50_589.cnf,0.458530
CBS_k3_n100_m423_b50_127.cnf,0.084349
CBS_k3_n100_m423_b50_383.cnf,0.537190
CBS_k3_n100_m423_b50_117.cnf,0.573384
