Filename,Execution Time (seconds)
CBS_k3_n100_m449_b90_809.cnf,0.175430
CBS_k3_n100_m449_b90_341.cnf,2.505813
CBS_k3_n100_m449_b90_993.cnf,1.166688
CBS_k3_n100_m449_b90_563.cnf,0.084753
CBS_k3_n100_m449_b90_545.cnf,1.153639
CBS_k3_n100_m449_b90_252.cnf,0.177317
CBS_k3_n100_m449_b90_146.cnf,1.735384
CBS_k3_n100_m449_b90_412.cnf,0.626601
CBS_k3_n100_m449_b90_381.cnf,0.075224
CBS_k3_n100_m449_b90_549.cnf,1.624275
CBS_k3_n100_m449_b90_636.cnf,0.266266
CBS_k3_n100_m449_b90_711.cnf,0.035961
CBS_k3_n100_m449_b90_472.cnf,0.788488
CBS_k3_n100_m449_b90_395.cnf,1.040765
CBS_k3_n100_m449_b90_337.cnf,0.975327
CBS_k3_n100_m449_b90_737.cnf,0.081459
CBS_k3_n100_m449_b90_552.cnf,2.031999
CBS_k3_n100_m449_b90_458.cnf,0.222010
CBS_k3_n100_m449_b90_454.cnf,3.431599
CBS_k3_n100_m449_b90_942.cnf,0.322184
CBS_k3_n100_m449_b90_32.cnf,0.017972
CBS_k3_n100_m449_b90_941.cnf,0.144643
CBS_k3_n100_m449_b90_796.cnf,0.134023
CBS_k3_n100_m449_b90_62.cnf,0.230674
CBS_k3_n100_m449_b90_983.cnf,0.007869
CBS_k3_n100_m449_b90_24.cnf,0.767574
CBS_k3_n100_m449_b90_268.cnf,0.459453
CBS_k3_n100_m449_b90_27.cnf,0.483665
CBS_k3_n100_m449_b90_369.cnf,2.527241
CBS_k3_n100_m449_b90_792.cnf,1.560737
CBS_k3_n100_m449_b90_831.cnf,1.589974
CBS_k3_n100_m449_b90_782.cnf,10.417063
CBS_k3_n100_m449_b90_681.cnf,0.174727
CBS_k3_n100_m449_b90_7.cnf,1.338419
CBS_k3_n100_m449_b90_470.cnf,1.183857
CBS_k3_n100_m449_b90_813.cnf,2.814919
CBS_k3_n100_m449_b90_476.cnf,1.064445
CBS_k3_n100_m449_b90_828.cnf,0.858924
CBS_k3_n100_m449_b90_916.cnf,0.458177
CBS_k3_n100_m449_b90_900.cnf,0.973265
CBS_k3_n100_m449_b90_540.cnf,0.216406
CBS_k3_n100_m449_b90_151.cnf,0.262477
CBS_k3_n100_m449_b90_687.cnf,1.005070
CBS_k3_n100_m449_b90_388.cnf,0.761447
CBS_k3_n100_m449_b90_215.cnf,1.053029
CBS_k3_n100_m449_b90_719.cnf,0.664521
CBS_k3_n100_m449_b90_275.cnf,0.173740
CBS_k3_n100_m449_b90_217.cnf,0.133753
CBS_k3_n100_m449_b90_164.cnf,1.898519
CBS_k3_n100_m449_b90_917.cnf,0.527293
CBS_k3_n100_m449_b90_322.cnf,1.416584
CBS_k3_n100_m449_b90_491.cnf,0.399976
CBS_k3_n100_m449_b90_266.cnf,0.262653
CBS_k3_n100_m449_b90_103.cnf,0.842482
CBS_k3_n100_m449_b90_758.cnf,0.155338
CBS_k3_n100_m449_b90_328.cnf,0.112566
CBS_k3_n100_m449_b90_767.cnf,4.317790
CBS_k3_n100_m449_b90_499.cnf,0.191553
CBS_k3_n100_m449_b90_820.cnf,1.058214
CBS_k3_n100_m449_b90_147.cnf,2.187337
CBS_k3_n100_m449_b90_343.cnf,1.051416
CBS_k3_n100_m449_b90_716.cnf,0.665437
CBS_k3_n100_m449_b90_776.cnf,18.436446
CBS_k3_n100_m449_b90_72.cnf,1.333583
CBS_k3_n100_m449_b90_537.cnf,0.081714
CBS_k3_n100_m449_b90_43.cnf,1.520480
CBS_k3_n100_m449_b90_731.cnf,0.037729
CBS_k3_n100_m449_b90_281.cnf,0.591036
