Filename,Execution Time (seconds)
uuf100-0577.cnf,5.388877
uuf100-0422.cnf,3.091687
uuf100-0950.cnf,5.258173
uuf100-0569.cnf,7.801834
uuf100-0173.cnf,2.130695
uuf100-0653.cnf,1.536281
uuf100-0824.cnf,5.442669
uuf100-064.cnf,1.060310
uuf100-0164.cnf,2.614798
uuf100-0137.cnf,0.914582
uuf100-0662.cnf,1.152680
uuf100-0798.cnf,3.172555
uuf100-0455.cnf,1.248319
uuf100-0639.cnf,24.967241
uuf100-0747.cnf,1.964496
uuf100-031.cnf,7.319318
uuf100-0462.cnf,4.943944
uuf100-0712.cnf,2.868807
uuf100-0272.cnf,2.709427
uuf100-0193.cnf,0.745239
uuf100-0656.cnf,0.666305
uuf100-0427.cnf,3.409536
uuf100-0418.cnf,11.815851
uuf100-0602.cnf,7.729427
uuf100-0908.cnf,0.444619
uuf100-02.cnf,0.667142
uuf100-0962.cnf,1.092477
uuf100-0831.cnf,1.912036
uuf100-0469.cnf,2.756465
uuf100-0344.cnf,2.139763
uuf100-0535.cnf,14.274847
uuf100-0610.cnf,4.689813
uuf100-0581.cnf,7.893421
uuf100-0627.cnf,4.509928
uuf100-0648.cnf,7.977784
uuf100-0746.cnf,0.591552
uuf100-0859.cnf,2.394383
uuf100-0518.cnf,3.178781
uuf100-0235.cnf,0.648585
uuf100-0488.cnf,1.614098
uuf100-0649.cnf,1.988991
uuf100-0155.cnf,2.834705
uuf100-0156.cnf,7.531254
uuf100-0744.cnf,5.070215
uuf100-0996.cnf,1.284423
uuf100-0212.cnf,0.496169
uuf100-0174.cnf,0.507279
uuf100-0997.cnf,6.253788
uuf100-0821.cnf,1.461956
uuf100-0311.cnf,7.125567
uuf100-0658.cnf,20.711393
uuf100-0482.cnf,2.151312
uuf100-013.cnf,11.116670
uuf100-0815.cnf,1.826934
uuf100-0807.cnf,38.016528
uuf100-0652.cnf,40.038858
uuf100-0343.cnf,0.405101
uuf100-0755.cnf,0.732885
